
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.0.108:54958    208.67.222.222:443     TIME_WAIT       0
  TCP    192.168.0.108:54959    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:54960    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:54961    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:54962    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:54963    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:54964    142.250.182.110:443    ESTABLISHED     40740
  TCP    192.168.0.108:54965    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:54966    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:54967    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:54968    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:54970    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:54971    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:55190    142.250.196.14:443     TIME_WAIT       0
  TCP    192.168.0.108:55192    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:55195    162.247.241.14:443     ESTABLISHED     40740
  TCP    192.168.0.108:55201    142.250.182.130:443    ESTABLISHED     40740
  TCP    192.168.0.108:55202    142.250.196.161:443    ESTABLISHED     40740
  TCP    192.168.0.108:55204    104.114.98.55:443      ESTABLISHED     33524
  TCP    192.168.0.108:56234    208.67.222.222:443     TIME_WAIT       0
  TCP    192.168.0.108:56235    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:56236    169.63.59.70:443       ESTABLISHED     33524
  TCP    192.168.0.108:56237    169.63.59.66:443       ESTABLISHED     33524
  TCP    192.168.0.108:56238    169.63.59.70:443       ESTABLISHED     33524
  TCP    192.168.0.108:56239    169.63.59.70:443       ESTABLISHED     33524
  TCP    192.168.0.108:56566    65.108.242.236:443     ESTABLISHED     40740
  TCP    192.168.0.108:56568    104.18.8.146:443       ESTABLISHED     40740
  TCP    192.168.0.108:56569    104.18.8.146:443       TIME_WAIT       0
  TCP    192.168.0.108:56570    104.18.8.146:443       ESTABLISHED     40740
  TCP    192.168.0.108:56571    52.184.213.21:443      TIME_WAIT       0
  TCP    192.168.0.108:56572    52.184.217.56:443      ESTABLISHED     5220
  TCP    192.168.0.108:56573    52.184.217.56:443      ESTABLISHED     5220
  TCP    192.168.0.108:56574    52.184.213.21:443      ESTABLISHED     5220
  TCP    192.168.0.108:56575    20.42.72.131:443       TIME_WAIT       0
  TCP    192.168.0.108:56964    162.247.241.14:443     ESTABLISHED     14636
  TCP    192.168.0.108:56965    151.101.1.69:443       ESTABLISHED     40740
  TCP    192.168.0.108:56967    151.101.120.193:443    ESTABLISHED     40740
  TCP    192.168.0.108:57229    52.163.231.110:443     ESTABLISHED     20256
  TCP    192.168.0.108:57248    40.74.219.49:443       ESTABLISHED     31804
  TCP    192.168.0.108:61338    74.125.200.188:5228    ESTABLISHED     40740
  TCP    192.168.0.108:61542    23.96.225.71:443       ESTABLISHED     49324
  TCP    192.168.0.108:61766    40.74.219.49:443       ESTABLISHED     31804
  TCP    192.168.0.108:61772    169.48.124.181:443     ESTABLISHED     33524
  TCP    192.168.0.108:62846    104.18.0.80:443        ESTABLISHED     14636
  TCP    192.168.0.108:64968    104.17.210.204:443     TIME_WAIT       0
  TCP    192.168.0.108:64970    199.232.253.174:443    ESTABLISHED     40740
  TCP    192.168.0.108:64980    199.232.253.174:443    ESTABLISHED     40740
  TCP    192.168.0.108:64982    199.232.253.174:443    ESTABLISHED     40740
  TCP    192.168.0.108:64985    35.190.88.7:443        ESTABLISHED     40740
  TCP    192.168.0.108:64988    104.17.239.204:443     TIME_WAIT       0
  TCP    192.168.0.108:64990    199.232.253.91:443     ESTABLISHED     40740
  TCP    192.168.0.108:64991    104.18.33.171:443      TIME_WAIT       0
  TCP    192.168.0.108:64992    104.19.155.83:443      TIME_WAIT       0
  TCP    192.168.0.108:64993    162.55.95.218:443      ESTABLISHED     40740
  TCP    192.168.0.108:64995    199.232.254.137:443    ESTABLISHED     40740
  TCP    192.168.0.108:65000    162.247.241.14:443     ESTABLISHED     40740
  TCP    192.168.0.108:65178    52.98.59.18:443        ESTABLISHED     5616
